,name,comment,mark
10,"
              2022款ID.4 X 智享长续航版
            ","操控：驾驶操控很棒，机械素质很优秀，超小的转弯半径，让窄路掉头更方便。
做工：大众的做工一贯很好，这点不用多说。
空间：空间大，特别后排地板纯平，带来更好的乘坐体验。
外观：外观见仁见智吧，我个人挺喜欢的，稳重大气，耐看，值得一提的一点是发光LOGO设计是点睛之笔，给个大赞！
续航：续航是电动车绕不开的话题，这里我也着重说一下。由于用车环境和习惯的不同，电动车的续航普遍都有虚标，ID4X的实际续航和官方标称的在冬季打差不多七折，夏季基本上1：1，这是我在我所在地，且不怎么跑高速的情况。本人在21年春节期间跑过一次电量100%到20%的极限测试，路况是90%高速，空调19度，乘坐4人，推算下来，极限续航是388。我的上下班通勤路程基本上是20KM左右，再加周末的出行或加班，ID4X没有周末！现在的习惯是每周充一次电（充电时电量剩余20%-30%），且只充到80%（出于对锂电池的保护推荐充到80%），就目前大半年的用车感受可以说完全没有续航焦虑。
用车成本：用过电动车的人都知道电车的有点之一就是用车成本低，我目前用的是家用充电桩，供电局默认选择峰谷电价，每次充电都用谷电充，一度0.31元，每个月电费基本上就是50-100元之间，因为费用很少，所以也没有具体计算每公里折合多少钱，待后续我在帖子里和大家分享。目前行驶八千多公里，基本上都是家用充电桩在充，电费约500元，做了一次免费的首保，除了保险就这点成本。后续我会把各方面的支出全部算在一起，在满一年的时候和大家分享用车成本。",4.83
11,"
              2022款ID.4 X 纯净长续航版
            ",🙋🏻♂️ 情况介绍 城市固定上班族，去年看着油价猛涨，决定换一台电车，对比了好几款产品，最终被它的赛博黄吸引，动力 续航 颜值在试驾了解后都比较满意  ✏️新车初体验 选了长续航的低配，新车等了个把月，每天刷新订单动态，物流动态，联系销售。。。终于在十月提车，在4s店看到实车的时候可开心了，还是那么靓丽 刚开始用D挡，和汽油车差不多的动力反馈，加速特别猛，老婆经常坐着被惯性后仰，随着电流声嗯嗯.的一下飚出去了，起步从来没怕过 但是刚用B挡不习惯，能量回收模式一下就像刹车一样，自己都会向前倒，不过现在开了几个月完全习惯了，感觉很好了，而且能量回收可以多跑很久，很省电，算了一下电耗和交的电费，差不多一公里一毛钱左右，再想想之前油车，一个月二箱油，大几百块钱没了  最佳续航，还有谁？不过这个比较极限，车友的图片，我的开不到这个里程 🗒 真实感受 内饰质量，外观都不错，提车几个月开下来，加速也特别爽，开高速大概会续航短点，在300-400左右 市区不开空调能到五百左右，非常满意，没有网上说的那些虚标续航里程数。  回老家路上开了三四百公里要充电，找了一个国家电网，充电很快，充电大概五十分钟左右，我充了半个小时，正好拍个照，媳妇衣服配色很搭，大黄配小黄，媳妇还发了朋友圈,4.79
12,"
              2021款ID.4 X 1st Edition ID.初见版
            ","【空间表现】
前部空间足够大。因为前部座椅可以调节的范围比较大。后部空间只是一般紧凑级SUV的正常表现，像我这样身高的坐到后排，感觉头距离顶棚还是有点近。而且后排如果乘坐三个成年人的话，还是有一点挤的。毕竟只是一个紧凑型SUV车型。
【充电时间】
充电时间相关的因素比较多。跟车辆的电池状态以及室外的温度都有关系。冬季的话充电速度就非常慢，是因为电池本身活性比较低。在进行充电的时候，BMS会降低充电的功率。在最近温度比较合适的时候，充电功率就比较高，尤其是当你开车开过一段时间，再去充电的话，充电功率就会比较高。这个跟电池的活性也有一定的关系。

【续航】
续航水平只能算是中规中矩。没有太大的惊喜，当然也不会跟理论值相差太远。续航水平主要是跟驾驶习惯，行驶速度以及室外温度有关系。如果在城市道路跑处于一个拥堵状况时开时停的话，电耗也不会低。如果是走城市高速道路。速度超过100之后电耗会比较高，基本上都是在20度/100公里以上。当然跟温度的关系也非常大，如果是冬季需要开热空调的话，电耗会非常的吓人。尤其是刚启动车辆行驶一段距离，平均下来的电耗就会非常高。天热开空调制冷比制热能耗相对要低一些。目前本人驾驶这个车的能耗表现基本上是16度每百公里。中间的路况包括1/3的城内拥堵路段和2/3的高架路段。

【智能化】
智能化的水平感觉和国内新势力车型相比而言还是比较落后的。但是这是各个品牌对于车辆的品质关注方面不一样吧。因为汽车的品质回归到最基本也就是驾驶，操控，底盘和车身强度等等这些。太多的花里胡哨的智能功能，实际使用过程中也不一定能用上多少。这个东西见仁见智，各取所需吧。
【最不满意】
这集刚开始的时候经常会断网，而且车内的各种传感器经常会报告错误。屏幕上闪烁的各种故障灯会把这个新手搞蒙的。因为你不知道哪些是真实的故障，哪一些是误报。后来经过一次硬件的驱动升级和一次撤机操作系统的升级之后，这些故障的误报率降低了不少，但是偶尔还是会出现。希望后续的OTA能够逐步的解决这些误报的问题。而且这个电控系统的功能还是需要完善，电耗相对来说还是比较高的，虽然电池很大，但是高电耗的话，必然导致这个续航会降低。
【购车经历】
本来没有打算换车，但是考虑到目前一个时期主要的活动范围局限在城市以内，不跑长途。而且每天都要开车，绿牌照的话就不受限号的影响。买车的过程也是曲曲折折，其实之前也看过一些汽油车。打算是两个油车交替着使用，错开这个限号限行。后来觉得使用成本也是比较高，而且也比较麻烦。中间也看过一些汽油和电混动的车型。但是由于机缘不凑巧，一直没有现车。而且销售人员也不是很热情。买这个车是完全处于急需用车。基本上当天试驾当天就下定了。而且买这个车有两年的无息贷款，也减轻了不少经济压力。
【驾驶感受】
感觉这个车和大众的一贯风格是比较接近的。虽然他是个电车，但是加速没有那种太突兀的感觉。而且他这个能量回收也不是那种很大力的刹车。基本上驾驶起来感觉操控比较灵活，因为是后驱车，所以他这个前轮的转向半径很小。在路上拐弯掉头都比较灵活。座椅的乘坐舒适度也还比较高。前排还有座椅按摩功能，也是一个比较实用的功能。
【销售态度】
因为购买这个车的时候，店里头有一个专职的新能源车销售员。推介起来也是比较热情，然后讲解的也还比较仔细。只是在购买的时候没有讲清楚这个车的情况。因为这个车是一个展车，相当于是在展厅里放了一段时间的。期间他的这个12伏小电瓶是亏过电的。但是销售没有如实告知。另一方面就是购车的时候有一些购车权益并没有给讲清楚。而且虽然是个展车，但是购买的时候都是按照官方的价格，一分钱的优惠都没有。对这一点感觉有一种不太诚信的感觉。当然了，主观原因还是在于自己，当时看到了现车着急购车，所以对一些细节没有太多的关注。",4.06
13,"
              2021款ID.4 X Pure 纯净版
            ","1、续航上，没开过远途，家里经常充电，从来没有过历程焦虑。不过听老司机建议说，上来做一次电量学习，让里程更加准确，我也试了一试，总结一下就是最后剩余40km的时候我安排了一次38KM的任务，结果回来还剩下13KM，越往下面里程跑起来越实。冬天续航就不提了，电动车都打折，它也不例外，打折促销也挺狠。实测300左右，75折。跑高速的话就只有260左右了，65折。

2、充电上，基本在家里充电，但还是听老师建议，为了防止有需要跑长途，先体验测试了一下直流充电，20分钟充了20度电，耗费20元。感觉用车成本上来了。试一下就好，充满估计在40分钟左右，因为冬天0°天气测试，刚上来功率不高，主要在加热电池包，后面达到120KW。整体体验还行。
 
3、驾驶上，我常年D档，这样我感觉跟开正常油车差异很小，坐过朋友开车用B档，有点要吐的感觉，D档下我完全没有不适的感觉。这种加速的感觉不像其他品牌，只考虑驾驶加速乐趣，它更加兼顾乘客整体舒适性。加速、制动都很有信心，绝不会刹不住。咱乞丐版没有什么驾驶辅助功能，但是体验过朋友的驾驶辅助系统，还真是不错，解放四肢。但是这个乞丐版竟然也装备了AEB行人保护、紧急制动和摄像头识别路标，算是惊喜。
 
4、娱乐上，这个就高大上了，在线音乐、爱奇艺、唱吧，因为我经常车上等人，这些功能对于我来说是解闷神器。本来觉得原车喇叭和我原来丹拿没法比，同样放flac格式音乐，没想到效果差异竟然不大（也可能我是木头耳朵）。
5、灯光上，这个IQ light就是亮点了，这个LED矩阵灯亮度绝对足够，动态效果也充满着仪式感。自适应远光响应很及时，夜晚不需要手动灯光切换了。格栅LOGO灯，也让这辆车充满了青春的气息。
6、空间上，基本够用，尤其这个很像MPV的中央通道让前排腿部空间感觉很宽敞，后排表现中规中矩，常年背着儿童座椅，再坐两个大人略显局促。
总归用下来的感受就是扎实、稳重、可靠，一如既往的大众品质，还是值得选择和推荐。很靠谱。",4.83
14,"
              2021款ID.4 X Pro 极智长续航版
            ","2月底订车，不到一个月车就到了，但是因为疫情耽误一直没去提车，6月一解封便联系提车事宜了。

决定买车到买定离手，花了不到一周的时间，之前在幻想，我的第一辆车会是什么呢？在充斥着互联网的时代，自然被WXL这些新势力的车子吸引着，但家人对PPT“造车”实在是没有信心，而且在试驾后更是觉得传统车企经久不衰是有一定道理的，而且上汽大众就在上海，各方面因素一统一，家里除了我全票通过了ID4x。
初识大白胖，觉得他憨憨萌萌哒，朴实无华却让人踏实。对比过4s店和好几个门店，价格优惠都大同小异，最终选择了离家近的一个ID STORE下单的（结果没想到4S店特远，失策失策）。除了离家近方便外，“颜狗”还是被ID STORE的外观吸引了。
2月22日下定（咱就是也觉得算是个黄道吉日），3月中旬车已经发运了，可惜由于被封控在家，无法去提车，直到6月一解封，便联系了销售进行提车事宜。当时下定的时候，没有提太多别的要求，唯一想要的就是能不能提车有点仪式感，所以最终决定在4S店提车，（其实蛮建议交付中心也搞搞这种“有的没的”的仪式感，非常吸引人还能起到宣传的作用）。

【外观】大白胖超级萌好吧，本来想要贴个改色膜，发现并不需要，也不舍的盖住这个漆面。
【智能化】
车机相对拉胯，没有那么灵敏，语音交互基本操作可以，但很多功能没有覆盖到。提车第二天导航没有反应，死机过一次，自动重启了，还算没有太让人费心，后期使用了再说。
【续航】
数据比较实，最近天气40°，空调上车必开，上下班往返90多公里，耗电20%，还是很能打的，原则上。但是据说这个数据不太准，两天开了不到200km吧，现在还有58%，320多公里，不知道是因为电量比较虚还是怎么回事，后期体验了再说吧。
【驾驶感受】
新手司机来说非常好开了，刹车也比较好控制，不会有一顿一顿的感觉，转弯特别灵活，也不用怕一把调不了头了。
【提车价格】
似乎22款更香，我是跨21退坡的时候买的，价格也算可以，但没提到车22款就来了，功能更多价格也差不了太多，但是当时已经配车了，就没有更换，只能说和大白胖的缘分如此吧。",4.07
15,"
              2021款ID.4 X Pro 极智长续航版
            ","外观 id4x蓝色实车好看，前脸霸气，绿牌养眼，发光LOGO很有科技感，回头率高
内饰 id4x蓝色内饰年轻明亮通透，座椅舒服，翻毛皮质感OK，前排座椅按摩给你几十万豪车的享受，腰部支撑调节好评
中控 挂档旋钮高端，中控大屏不刺眼，分辨率高，触摸式按键高级，空调出风口完全可以调到舒适的角度
空间 本人1米8，座椅喜欢调最低，前排空间巨大，视野辽阔，后备箱同级别最大的感觉，经常载货，绝对够用
操控 底盘可以调节666，越野车才有的底盘调节功能，舒适模式适合碎路面和慢慢地开，运动模式就跟轿车的操控一样运动，开起来跟在开轿车一样，信心十足，刹车前段动能回收，习惯了就很好轻松掌握，高速很稳重，特别是L2+自动驾驶可靠性非常高，非常好用
行驶感觉 开起来很安静，很小的胎噪

安全性 id4x中保研最高分你说安全不？车身硬，绝对不怕撞。带前进主动刹车，后退倒车也有主动刹车，有一次倒车上坎速度很快差点撞墙，主动刹车判断到我踩刹车力度不够，主动帮我刹停，刹停后距离墙体10公分，牛逼。倒车识别两侧来车，它也会判断你刹车力度不够，有碰撞风险会帮你刹停，这种刹停来的刚刚好，也帮你纠正更好的倒车习惯，就是要慢慢刹。

刹车在最开始的1个月慢右前轮刹会异响，售后说正常，后来就慢慢少了不会了，刹停也舒适，没有明显的点头，不会头晕。

充电兼容性好，充过未来的，小鹏的，高速服务站国网的，速度都很快，在店铺门口安装了充电桩，7毛一度的电，慢充我一般从30%充到90%左右，没什么问题。

对比过比亚迪汉，空间更大，装载更大，L2辅助驾驶更可靠，雷达功能更靠谱
对比过速腾朗逸顶配，我是贷款分期5年的，算下来省去的油费，月供差不多，所以选择电车，面子更足配置更好
对比过比亚迪DMI，三电故障率，id4x低太多了，实际情况也是这样的
对比过油车SUV，充电成本低太多了，行驶质感平顺心和静谧性是油车没法比的
对比过特斯拉，特斯拉强制动能回收不好，特斯拉地盘太硬

最后说下id4缺点，中控可玩性差了点，不过可以淘一个车载盒子弥补一下。

真实情感，直戳重点，码字不易，路过的点个赞呗。",4.93
16,"
              2021款ID.4 X Pro 极智长续航版
            ","开了两个多月了来好好总结一下自己的id4x
图片是去贴车衣的时候店家拍的，还不错就拿来当照片啦
当时买车的时候看了byd唐和汉 特斯拉的y 小鹏的p7 领克的05 所以对比感受都是这几辆车的感觉

更新了一下装载空间表现以及车衣牌子

【驾驶感受】
这个是我买这个车最主要的因素，作为车开起来舒服是最关键的一点，作为平行的对比，我之前选车时候我试过的那些车里 id4x 特斯拉y 领克05的试驾感觉都很好，但是05的噪音毕竟是油车会更响，y呢对于驾驶员的驾驶感受要好于乘客太多，所以选择了id4x 
备注一句比亚迪的后排是真的颠，这个真的需要改进一下，有点过于颠了


【空间表现】
中规中矩，能装，乘坐空间在这个级别里也足够舒服，唯独少了个前面的储物空间，不过这个和大众电车平台有关

【外观】
x比c的前脸要好看，所以选了x 这个太主观了，不过多评价

【智能化】
开车用的都有了，L2的辅助驾驶 车道保持都挺好用的，特别车道保持，不会时不时的修改方向，这很好，不过多余的智能化内容一点都没有，所以这个只能说够用，并且在预约充电这个小功能上还有点小bug 所以只能算是有待加强

【续航】
续航我只能根据自己的行驶习惯告诉大家1个星期到2个星期充一次电，然后提车在冬天，空调高频率开启的前提下，日常每天行驶20km左右
冬天续航太看启动后的行驶时间，然后启动次数什么的了，电池加热是耗电的元凶，如果正常行驶能好在16-22的话，电池加热的时候能好要到30-50

【充电时间】
自己家有充电桩，通常靠近20%的时候充电，限制到90% 晚上十点插上去第二天睡醒开走肯定是好了，具体时间的话好像是5-6个小时吧，实在是不太关心这个，所以记得大概

【最不满意】
最不满意的话其实没有，都是买车之前就知晓能接受的问题，况且我提车就是15版本，所以没遇到过黑屏死机断网等方面，预约充电不太好用但传言会更新，现象这个算是最不满意的地方

总结就是这个车作为车来开很好，但仅限作为车来开，娱乐属性为0，但这个是我需求的所以很满意喽",4.14
17,"
              2021款ID.4 X Pro 极智长续航版
            ",车机卡顿，各种报故障码，系统不稳定，死机，杂音。北方（山东烟台）冬天续航差100%-5%，空调22度，一档风，座椅加热1档，方向盘加热一档续航180km，多次测试最多200km，购车一个月进店维修11次，从交车后第二天开始，每次，每天开车都会报故障灯如下列:半自动驾驶辅助故障，警告和信息不可用，车前测距监控不可用，预约空调不可用，交通标志识别不可用，车道保持辅助不可用，驱动系统故障，电驱动系统失效，此按键在您的车辆内不起作用，购车1个月往返4s店11次.一直无法消除故障。10月中旬下高速突然死机，#全车断电，只有方向盘，刹车有用，加速电门失效。停车15分钟后故障消失，9月24日购车10月3日正式使用，10月3日-10月31日2，共去4s11次，4s态度极好，但表示无能为力，他们只能消除故障码，十几次的车机无网络，每次出现无网络都必须去4s重载通讯模块，车机无网络造成车辆无法充电，最多只能充5%.跑了7800km，有800+km是往返4s店（单程15km往返30km）500+km4s技师试车。入冬后烟台地区温度0℃--6℃，多次满电100%-5%只能跑170-190km，续航缩水严重不足厂家标定的1/3。又来新的了，2022年2月5日刹车失灵，多次投诉厂家给的答复是踩刹车太急，系统没反应过来，这是学会了特斯拉的套路，找了一下现在刹车失灵的不是个例了，要买的看好了吧，各种推卸责任给车主，7点建的群9.20就8个了，还有更多车主看到请联系我,2.5
18,"
              2021款ID.4 X Pro 极智长续航版
            ","先说结论：整体OK，续航实在，颜值在线，但是特定场景的安全性有待提高，一个是车前测距监控系统容易判断失误导致紧急制动（目前仅出现在地下停车场），一个是车机频繁死机。

1. 系统误判触发紧急制动：
提车三星期，在三个不同的地下停车场发生紧急制动，一共出现五次，车内有孕妇，还好车速不快，孕妇仅仅是受到惊吓，前几天去医院检查无大碍后，我才能这么心平气和写下这些文字。每次都是在地下停车场缓慢行驶时，光线较暗，前后无阻挡，过减速带时突然雷达响起，紧急制动。第一次出现时是提车第一天（4-14-2022），那个时候停好车，但下车后检查了一下，觉得停车角度不够板正，所以就重新上车调角度，没系安全带，过减速带时紧急制动，联系售后时，售后提醒我要系好安全带，那确实是我没系安全带的原因。第二次（4-25-2022）发生紧急制动时，我马上去大众4S店，维修工程师检查后，说是雷达检测到空中有漂浮物，触发紧急制动，属于小概率事情。第三次（4-30-2022）是准备载媳妇儿去吃饭，出地下停车场时触发紧急制动，吃完饭马上又去了一趟4S店，师傅建议把车前测距监控系统关掉，确实是有多位用户反映紧急制动的事，目前无解，让我下次系统误判触发紧急制动时拍360度的视频给他们，4S店会反馈给厂家。为了确保能拍到真实的视频，我当天（4-30-2022）没有关车前测距监控系统，当天在其他停车场触发了两次紧急制动，并拍了视频给4S店时，现在在等厂家五一后回来处理。目前仅仅只出现在地下停车场这个场景，希望不会扩散到其他场景。

2. 车机频繁死机：
车机是辣鸡，提车三星期，基本上每周都会出现一次导航断网的情况，开着开着导航就不动了，重启导航也没有用，只能一边开车一边分心用手机重新导航，用手机重新搜索目的地时，要一边看路一边看手机，一心二用很危险。
车机频繁死机，中途错过多少的路口就不说了，问了车行，都是目前只能等OTA升级，没有其他办法，这个才是最糟心的。",3.64
19,"
              2021款ID.4 X Pro 极智长续航版
            ","我购买的是2021款Pro 极智长续航版 加L2级半自动驾驶选装包，

【购车经历】
与电动车结缘是一件非常巧合的事情，或者说是一件非常冲动的事情，也许就是在逛街的时候在商场的展厅中，黄色的id4x一眼就看中了。没多久就在手机中下单了。下单到提车不到10天。
【最满意】
这个版本配置还比较齐全， 包括：车道保持系统，自适应巡航系统，电动开启后备箱，手机无线充电系统，钥匙靠全车自动解锁功能，超细纤维绒面座椅，矩阵式LED灯，全彩色内饰氛围灯等。
【乘坐体验】
客观来说车辆动力性非常好，加速起步优越。这点和我以前的油车比，太明显了，尤其是红绿灯起步，非常灵明，油门踏板下去，动力马上来了，基本没有迟钝。电动机噪音比较小，家里有充电桩充电也分方便。车辆科技感足，驾驶辅助功能比较完善。高速公里及快速路驾驶比较轻松。车内空间还比较大，后备箱也够。座椅坐高一般。
现在油价这么高，家用充电半价时段一度电只有0.33元，用车成本真的非常的便宜。
【最不满意】
要说批评意见就是车机太稳定。
1没有4G信号；2，预约充电失败；3，偶尔会死机黑屏。
希望能在后续OTA远程升级过程中解决相关毛病。
【续航】
车辆续航标称555公里，感觉秋天的时候，开的稳点，基本可以达到。冬天的时候续航掉的比较快，但也有300公里左右。上海这个地方，肯定够用了。
【油耗】
刚提车的时候9月份 电耗16KW/100KM，冬天21KW/100KM，基本上每天80KM，一大半是快速路
【提车价格】
我的购买价格当时基本没有优惠237088，不用上购置税，保险5000元，牌照免费",4.57
20,"
              2022款ID.4 X 智享长续航版
            ","坐标深圳，6月份开始打算把家里一台油车置换为纯电，21年9月其实已经关注大众Id系列，对其影响深刻。正好深圳目前政府补贴挺多的，经过家里领导同意最后选择ID4X智享长续航版本，本来以为要等车，很巧的是6月25日找到一台现车，颜色内饰都满意，还有我喜欢的哈曼音响。
1、颜值超高：前脸设计大气科技感十足、尾部简单大方！晚上点亮前后灯走在路上回头率超高哦！原来大众也有这么漂亮的车，惊艳四座！
2、安全可靠：关注欧洲碰撞成绩和中保研碰撞测试，发现ID4X居然是中保研碰撞历史最好成绩！震惊到我
3、底盘调教：之前开过日系雅阁、大众斯柯达速派、途观L、奥迪Q5等，首先调教味道还是大众的味道，就是高级感，可以说ID4底盘舒适感受比上述的都要好，跟Q5基本相当，毫不夸张！整车2120公斤的重量，配合后驱驾驶感受非常灵活，操控精准，而且转弯半径超小，得益于其车身配重做的好！
4、电池续航：可以说相当满意了，标称605KM续航一点也不虚，我平时充电80%，显示续航在460KM左右，每周五天通行约300KM，所以冲一次足够应付！跑个高速也不会拉胯，充满100电量正常跑100码可以续航400公里左右！服务区休息充个电其实挺快的。
5、日常通行电耗：本人驾驶习惯很好，加上使用B档，所以百公里电耗维持在13-15附近，说明一点没有关空调哦，全程23度小风冷的一批！
6、车机系统：使用一段时间来看，不能说完美，但是对我来说绝对够用了，语音控制功能挺方便的。关于导航和听歌，一般我上车就连接苹果手机carplay，哈曼卡顿音响听着手机里无损音乐，那效果真的很满意！
最后总结：顺利买到一台自己各方面都很满意的纯电车，感谢各级政府的补贴支持！
PS：求版主加精华哦！",4.57
21,"
              2022款ID.4 X 纯净长续航版
            ",车开起来没有毛病，就是刚开始的时候车机导航都激活不了，尴尬的是售后也不懂，就叫开到店里给师傅看，上车就连carplay影响不大。,3.5
22,"
              2022款ID.4 X 智享长续航版
            ","智能化系统还是堪忧，除此之外，真的是一部好车，适合实干的人，胡里花哨的不适合。
新车有一些难闻气味，不知道要散多久。",4.07
23,"
              2021款ID.4 X Pro 极智长续航版
            ",我每天高速通勤70多公里，满电续航显示就400，不知道是怎么计算的咱也不懂～省钱是真省钱，偶尔黑屏也能忍～辅助驾驶好用，高速上跟车很方便，B档已习惯，很少踩刹车，说它鼓刹不行的别信，自动刹车能给你吓一跳。每次都得手动关闭车道保持不爽。新款电池已经终身质保了我的8年16万公里去4s店还要让店员怀疑看我合同我特么真栓球了！一汽的有隐私玻璃，我车连个膜都没有我说啥了，空调提前打开在冬夏两季简直神器，座椅没有通风，也不能选配，也栓球了！空间很够用尤其后排，很舒适！前排没个点烟器是怕我把车烧了吗？一根线也挺贵的！无线充电功率好像有点低，反正充不了多少电！后背箱却给了个点烟器取电口，你说这用起来方便吗？轮胎不错，扎胎了钉一拔打足气就开～保险杠被别的车蹭了一下，怎么感觉没有底漆？面漆掉了直接露塑料子了？？以上吐槽仅代表个人使用感受，天下没有完美的车！,4
24,"
              2022款ID.4 X 纯净长续航版
            ","1、之前开的车：之前开的是手动赛欧3，已经跑了13万公里，由于主要是上下班开，成色还很新，舍不得抛弃，这次为增够。
2、关于续航：习惯用B挡模式开，一个是很省电，一个是不用反复踩刹车，油门控制舒服，开一天就习惯了。目前最高充到98%的电，显示续航608。跑了两次长途，消耗续航和里程基本一致
3、关于车机：网上留言车机卡顿，目前为止并没有，目前车机主要用于导航听歌，没啥大的需求能满足日常所需。
4、关于车窗升降：没有4键方便，按切换键的时候有声音反馈，熟悉了可实现盲操。
5、关于开/关天窗：天窗为触控感觉还是没有实体按键方便。
6、关于后排座椅：20多万的车后排中央居然没扶手，不地道
7、关于空间：时间过帕萨特，感觉不相上下。",4.21
25,"
              2022款ID.4 X 纯净长续航版
            ",刚提车，驾驶感受符合预期，整体满意，目前还不能联网，carplay 使用中，很不错，希望车机再给力些,4.21
26,"
              2022款ID.4 X 纯净长续航版
            ",总体硬件不错，产品软件跟上汽服务太拉垮！比如车机软件掉线黑屏退账号，打400电话反映问题就没有任何回复了。大众操控性还是不错的。,3.29
27,"
              2022款ID.4 X 纯净长续航版
            ","质ID4X高超的颜值和出色的性能，还影响了身边不少朋友，他们有的和我之前一样，根本不知道大众还有纯电车，而且还做的这么好看！有的是对电车不感兴趣，或者是担心续航能力。还有的呢，一直关注的是造车新势力，如特斯拉，蔚来，小鹏，理想之类，根本就没去了解过大众。在我这台ID4X提回来后，他们有了近距离了解的机会，不看不知道一看吓一跳：原来大众也有这么棒的纯电车！

然后几个朋友纷纷跑去试驾，一个朋友在我提车之后两天买了一台ID.6X，一个朋友在今天下午喜提ID.4X----尤其要强调的一点是：这两个朋友原本就是冲着特斯拉去的，像今天提车的这位，家里已经有一台魔豆Y了！本来是想买个魔豆3的，看了ID4X后，最终选择了大众。还有一个已经预约明天试驾……妈呀，上汽大众你家是不是该给我点推销费啊？

总体来说相当不错，续航相当满意，充电速度不错，内饰环保，基本没有味道。",4.21
28,"
              2022款ID.4 X 纯净长续航版
            ",外观不错比较适合我的审美，动力随叫随到够用，内饰一般般，配置基本都能满足，空间比我以前的马3大了不止一点，驾驶感受的话地盘稳前悬比较硬，车子虽然重但是开起来还是很轻快的，刹车前段比较软跟油车完全不一样需要适应一段时间，我一般都是B档开这样刹车的感受会好很多，续航冬天开暖气400公里不到，春天10度以上不开空调500公里没问题，气温20度开空调450公里，可能是之前开手动马3油门踩的比较猛的缘故，听别人说都能开600公里不知是真是假，反正我是开不到有什么说什么,3.71
29,"
              2021款ID.4 X Pro 极智长续航版
            ","机械素质确实是同级别最好的，但是智能化配置确实还是差不少，总体还是比较满意~最喜欢的就是前脸和侧面的线条，侧面很有瓦罐的气质，据说24年电动瓦罐就会上市了。内饰id4x比id4c更容易讨年轻人的欢心，空间方面电动车都不差~

提车5个月现在差不多2万公里了，70%都是跑的高速，这夏天高速120开启巡航情况下差不多百公里20度电的样子~折算下来慢点400公里的样子，基本上单程150公里以内都不会有里程焦虑。但是冬天确实能耗升高的还是比较多，不开空调，高速120巡航只开方向盘加热或者座椅加热的情况下，大概23~24度电/百公里的样子。在满载负荷和极速160的情况下，感觉电机有一些抖动~所以，对电动车还是得友好一些~

如果只是城市代步的话，还是更建议id3，整车质量更轻，操控感更好~id4虽然操控也不错，但是毕竟车重在哪儿摆着，激烈驾驶情况下，侧倾不算大，但是仍然能够感受到2吨多的车重，坚持的很艰难。",4.21
30,"
              2021款ID.4 X Pure+ 纯净长续航版
            ","【空间表现】
表现优秀，本人身高180前排调整好，后排还有两拳距离，头部空间前排很富余，后排坐直大概三指左右中规中矩。
【充电时间】
目前只在快充试过一次，特来电充电实时功率大概40KW左右，其他时间用家充，一般30%左右充到80%左右，下班回家就充上早晨上班已经充好
【续航】
续航准确，城区里开的话跑500以上一点问题没有，温度20左右不开空调的话能跑超过官标续航数。跑高速100-110大概8折左右。
【智能化】
智能化一般，手机端软件只能看看剩余电量和剩余续航里程，远程开空调，远程控制充电，功能太少。车内智能化水平也一般。
【最不满意】
智能化表现一般，手机app对于车辆的控制功能太少，目前使用一个月出现过不显示时间问题，第二天自己好了。底盘悬架偏软，低速晃动比较大，高速很稳。",4.14
31,"
              2021款ID.4 X Pure+ 纯净长续航版
            ","空间足够，驾控很舒服，耗电优秀级别，主要是安全啊。
充电采用7kw是，充满电需要12个小时。快充半个小时从20%到80%。夏季空调一直开百公里耗电大概15，春秋两季百公里13度电。速度大概在60左右城市快速路。总起来说还是比较满意的。没有头晕的感觉。绿色节能环保。
续航比较真实。因为本人在天津，每天上下班来回大概100公里。大部分是城市快速路。目前来看百公里综合耗电14度左右。还是比较满意的。
我觉得大众的鼓刹没有任何问题。我比较习惯单踏板模式，动力回收是是不是和什么方式的刹车关系不大。所以我不觉得鼓刹有什么问题。
车机确实一般，导航我一般不用大众的，太落伍了，我直接用carplay 还是比较好用的。提的现车，照片便是。",4
32,"
              2022款ID.4 X 智享长续航版
            ",很像油车的电动车，很扎实，智能化程度一般，基本功能都是好的。用车2个月，续航很准。电车真的能改变生活尤其当下油价这么贵。续航里程很标准吧！我春天买的，最近温度15度样子，最高温度21，不开空调，续航500多随便开。平时看着建议充电到百分之八十的建议，因为家里有桩比较方便来着。每天上下班50公里，基本一周充一次吧！现在夏天开空调了，续航在17度电百公里样子，充电方便，没有啥压力。车子老婆开的，基本智能化还是够用的，比起新势力差点，但是自己用也够了，周末没事周边100公里范围内的景点随便转转，没有啥压力，希望后续能赶快OTA，升级到最新款。车用到现在没有别人说的黑屏，卡死，异响等状况，后期会继续去分享使用情况。,4.71
33,"
              2022款ID.4 X 劲能四驱版
            ",对于不想改变燃油车驾驶习惯的人来说，大众ID是最好的选择。坐上去，各种习惯，包括油门，内饰，按钮，甚至续航里程都是传统燃油车根据最近能耗统计，绝对没有续航焦虑。绝大部分配置有齐了，抬显，360，加热方向盘，正副驾驶按摩座椅，矩阵LED大灯，踢脚后备箱，变道辅助，氛围灯等等，略显遗憾的是没有通风座椅和电吸门，轮毂居然都是21寸的。自动驾驶这一块没关注过也不打算用，包括自动泊车。10天用下来感觉不错，空调来的很快，车机反应也很满意，底盘滤震比A7舒服，毕竟轿跑没有舒服的，哈哈。车内储存空间也够大，特别是前门可以塞下一把很大的折叠伞，自己又在某宝上买了些储物盒，空间就更大了。前后灯的仪式感也很足，靠近车辆的效果也很赞。不足的就是智慧互联里没有上锁解锁，开关车窗的功能，这个有点遗憾,4.5
